Flinders St-Spring St (West),-37.8153188,144.9746096
Australia on Collins,-37.815922,144.964913
Birrarung Marr,-37.818798,144.973538
State Library,-37.810199,144.965351
QV Market-Elizabeth St (West),-37.806383,144.95944
Chinatown-Lt Bourke St (South),-37.812272,144.966105
Lonsdale St (South),-37.813206,144.958925
Spencer St-Collins St (South),-37.818686,144.954135
Lygon St (West),-37.798842,144.967145
Southbank,-37.821949,144.959533
QV Market-Peel St,-37.807402,144.955539
Victoria Point,-37.818136,144.94643
Tin Alley-Swanston St (West),-37.796676,144.96427
Bourke St-Russell St (West),-37.812826,144.967918
Chinatown-Swanston St (North),-37.810767,144.971083
Bourke Street Mall (North),-37.813521,144.965429
Webb Bridge,-37.824002,144.947436
Flinders St-Spark La,-37.815412,144.973592
Bourke Street Mall (South),-37.814134,144.963301
City Square,-37.814015,144.965747
Waterfront City,-37.815347,144.938963
Melbourne Central,-37.810915,144.962897
Flinders Street Station Underpass,-37.818558,144.965324
The Arts Centre,-37.822304,144.96939
New Quay,-37.814221,144.942847
Flinders St-Swanston St (West),-37.817507,144.967382
Collins Place (North),-37.814126,144.972454
Southern Cross Station,-37.818526,144.953765
Princes Bridge,-37.819199,144.968149
Town Hall (West),-37.815271,144.967033
Monash Rd-Swanston St (West),-37.798503,144.96411
Collins Place (South),-37.814363,144.971789
Spencer St-Collins St (North),-37.819032,144.954539
Alfred Place,-37.814046,144.969991
Sandridge Bridge,-37.819842,144.963269
Flagstaff Station,-37.811819,144.955935
Melbourne Convention Exhibition Centre,-37.825419,144.952896
Grattan St-Swanston St (West),-37.800481,144.963741
Lonsdale St-Spring St (West),-37.80973,144.97217
Flinders St-Elizabeth St (East),-37.818037,144.964923
Queen St (West),-37.811222,144.959053
St Kilda Rd-Alexandra Gardens,-37.820823,144.969288
Lygon St (East),-37.806171,144.965825